,Date,S&P_Open,S&P_Close,S&P_Volume,PRIME,t_3m_Close,t_10y_Close,cpi_Value,cpi_MoM%,oil_Price,unemp_rate,PE_Ratio,Div_Ratio,EY_Ratio,CS_Index,vo_Open,vo_Close,GF_Open,GF_Close,GF_Volume,Nas_Open,Nas_Close,Nas_Volume,Nk_Open,Nk_Close,Nk_Volume,fx_Price,fx_change%,Close_t-1,return(%),return_class,Close_t+1,return(%)_t+1,return_class_t+1
3567,2008-07-03,1262.96,1262.9,3247590000.0,5.0,1.81,3.973,219.016,-0.1,145.31,5.8,25.37,38.88,3.94,56.4,25.92,24.780001,944.8,931.9,58.0,2261.73999,2245.379883,1423670000.0,13161.780273,13265.400391,154200000.0,1.0184,0.65,1261.52,0.10939184475871244,0,1252.31,-0.8385462031831613,-1
3568,2008-07-02,1285.82,1261.52,5276090000.0,5.0,1.79,3.959,219.016,-0.1,143.74,5.8,25.37,38.88,3.94,56.4,23.4,25.92,938.8,944.8,58.0,2311.570068,2251.459961,2376300000.0,13489.870117,13286.370117,136500000.0,1.0118,-1.04,1284.91,-1.820360959133332,-1,1262.9,0.10939184475871244,0
3569,2008-07-01,1276.69,1284.91,5846290000.0,5.0,1.825,3.992,219.016,-0.1,141.06,5.8,25.37,38.88,3.94,56.4,25.139999,23.65,943.6,942.5,32.0,2274.23999,2304.969971,2653890000.0,13514.860352,13463.200195,121400000.0,1.0224,0.13,1280.0,0.3835937500000064,0,1261.52,-1.820360959133332,-1
3570,2008-06-30,1278.06,1280.0,5032330000.0,5.0,1.705,3.979,215.208,1.0,139.96,5.4,25.81,38.88,3.88,56.4,24.25,23.950001,927.7,926.2,144.0,2312.419922,2292.97998,2096400000.0,13584.509766,13481.379883,123700000.0,1.0211,1.04,1278.38,0.1267228836496105,0,1284.91,0.3835937500000064,0
3571,2008-06-27,1283.6,1278.38,6208260000.0,5.0,1.63,3.99,215.208,1.0,139.69,5.4,25.81,39.22,3.88,62.6,23.75,23.440001,913.1,929.3,167.0,2319.620117,2315.629883,3403540000.0,13605.259766,13544.360352,127700000.0,1.0106,-0.29,1283.15,-0.371741417605111,0,1280.0,0.1267228836496105,0
3572,2008-06-26,1316.29,1283.15,5231280000.0,5.0,1.68,4.033,215.208,1.0,138.91,5.4,25.81,39.22,3.88,62.6,22.23,23.93,909.6,913.1,182.0,2365.860107,2321.370117,2300840000.0,13845.410156,13822.320313,114400000.0,1.0135,0.44,1321.97,-2.936526547501073,-1,1278.38,-0.371741417605111,0
3573,2008-06-25,1314.54,1321.97,4825640000.0,5.0,1.76,4.115,215.208,1.0,133.92,5.4,25.81,39.22,3.88,62.6,22.42,21.139999,883.6,880.0,97.0,2376.820068,2401.26001,2153970000.0,13820.780273,13829.919922,123500000.0,1.0091,-0.29,1314.29,0.5843459206111333,1,1283.15,-2.936526547501073,-1
3574,2008-06-24,1317.23,1314.29,4705050000.0,5.0,1.795,4.105,215.208,1.0,136.49,5.4,25.81,39.22,3.88,62.6,22.690001,22.42,889.6,889.2,64.0,2375.800049,2368.280029,2195920000.0,13766.280273,13849.55957,100100000.0,1.012,-0.36,1318.0,-0.2814871016691985,0,1321.97,0.5843459206111333,1
3575,2008-06-23,1319.77,1318.0,4186370000.0,5.0,1.85,4.168,215.208,1.0,135.98,5.4,25.81,39.22,3.88,62.6,22.889999,22.639999,903.4,884.8,54.0,2416.550049,2385.73999,1916230000.0,13769.44043,13857.469727,117700000.0,1.0157,-0.1,1317.93,0.005311359480392459,0,1314.29,-0.2814871016691985,0
3576,2008-06-20,1341.02,1317.93,5324900000.0,5.0,1.8,4.137,215.208,1.0,134.78,5.4,25.81,39.22,3.88,62.6,21.58,22.870001,903.8,901.3,21.0,2441.959961,2406.090088,2570320000.0,14171.019531,13942.080078,129700000.0,1.0167,0.06,1342.83,-1.8542927995352998,-1,1318.0,0.005311359480392459,0
